G5 X,3.50002, Y,0.52562, S,0, E,0
G5 X,23.86008, Y,0.36072, S,0.015675463770208, E,0.011380386697171
G5 X,24.025, Y,0, S,0.011380386697171, E,0.011380386697171
G5 X,23.86008, Y,-0.36072, S,0.011380386697171, E,0.011380386697171
G5 X,3.50002, Y,-0.52562, S,0.011380386697171, E,0.015675463770208
,0,,0,,,,
G5 X,2.50002, Y,1.57687, S,0, E,0
G5 X,24.58151, Y,1.08215, S,0.015675463770208, E,0.011505790407333
G5 X,25.02263, Y,0.47202, S,0.011505790407333, E,0.014828988726617
G5 X,43.84644, Y,0.32212, S,0.014828988726617, E,0.010189051450635
G5 X,44.04995, Y,0, S,0.010189051450635, E,0.010189051450635
G5 X,43.84644, Y,-0.32212, S,0.010189051450635, E,0.010189051450635
G5 X,25.02263, Y,-0.47202, S,0.010189051450635, E,0.014828988726617
G5 X,24.58151, Y,-1.08215, S,0.014828988726617, E,0.011505790407333
G5 X,2.50002, Y,-1.57687, S,0.011505790407333, E,0.015675463770208
,0,,0,,,,
G5 X,1.50001, Y,2.62812, S,0, E,0
G5 X,25.30295, Y,1.80359, S,0.015675463770208, E,0.011662545045035
G5 X,25.96757, Y,1.41696, S,0.011662545045035, E,0.015173848929562
G5 X,44.49054, Y,0.96622, S,0.015173848929562, E,0.010345806088338
G5 X,45.0461, Y,0.47053, S,0.010345806088338, E,0.014891690581698
G5 X,63.79394, Y,0.24465, S,0.014891690581698, E,0.007743679102483
G5 X,64.07491, Y,0, S,0.007743679102483, E,0.007743679102483
G5 X,63.79394, Y,-0.24465, S,0.007743679102483, E,0.007743679102483
G5 X,45.0461, Y,-0.47053, S,0.007743679102483, E,0.014891690581698
G5 X,44.49054, Y,-0.96622, S,0.014891690581698, E,0.010345806088338
G5 X,25.96757, Y,-1.41696, S,0.010345806088338, E,0.015173848929562
G5 X,25.30295, Y,-1.80359, S,0.015173848929562, E,0.011662545045035
G5 X,1.50001, Y,-2.62812, S,0.011662545045035, E,0.015675463770208
,0,,0,,,,
G5 X,0.5, Y,3.67937, S,0, E,0
G5 X,26.02438, Y,2.52502, S,0.015675463770208, E,0.011787948755197
G5 X,26.91338, Y,2.36277, S,0.011787948755197, E,0.015424656349885
G5 X,45.13451, Y,1.61019, S,0.015424656349885, E,0.01050256072604
G5 X,45.98715, Y,1.41158, S,0.01050256072604, E,0.015267901712183
G5 X,64.28323, Y,0.73395, S,0.015267901712183, E,0.007931784667725
G5 X,65.0648, Y,0.46427, S,0.007931784667725, E,0.014923041509238
G5 X,73.81267, Y,0.25091, S,0.014923041509238, E,0.008057188377887
G5 X,74.08739, Y,0, S,0.008057188377887, E,0.008057188377887
G5 X,73.81267, Y,-0.25091, S,0.008057188377887, E,0.008057188377887
G5 X,65.0648, Y,-0.46427, S,0.008057188377887, E,0.014923041509238
G5 X,64.28323, Y,-0.73395, S,0.014923041509238, E,0.007931784667725
G5 X,45.98715, Y,-1.41158, S,0.007931784667725, E,0.015267901712183
G5 X,45.13451, Y,-1.61019, S,0.015267901712183, E,0.01050256072604
G5 X,26.91338, Y,-2.36277, S,0.01050256072604, E,0.015424656349885
G5 X,26.02438, Y,-2.52502, S,0.015424656349885, E,0.011787948755197
G5 X,0.5, Y,-3.67937, S,0.011787948755197, E,0.015675463770208
